Index,Year,Authors,Name,Bibtex,DOI,AR OST HWD,AR VST HWD,Handheld AR (Smartphone),Handheld AR (Tablet),Spatial AR (projector based),Stereoscopic Projection,CAVE,VR HWD,Smartwatch,Smartphone,Tablet,Laptop,Desktop,Projection,Large Display,Tabletop,Symmetric,Asymmetric,Remote Control,Dynamic Lens,Augmented Display,VESAD,Logical Distribution,Migratory Interface,Parallel,Serial,Exclusive,Single User,Multi-user - Shared Component,Multi-user - Indvidual Component,Near,Personal,Social,Public,Flexible,Semi-Fixed,Fixed,Unidirectional (MR-centric),Bidirectional,Unidirectional (2D-centric),Co-Located,Remote,Component-coupled,Dynamic,Free,Development/Authoring,Gaming,DataVis/Data Analysis,SciVis,Medical,Productivity,Collaboration,Entertainment,3D Object Manipulation,3D Design/Sketching,Text Entry / Annotations,Study,Other / None,Term: Hybrid UI,Term: Hybrid <other>,Term: Cross-Device,Term: Cross-Reality,Term: Multi-Device,Term: Augmented Display,Term: Transitional,Undefined,Other Terms,Empirical,Artifact,Method,Theory,Dataset,Survey,Opinion,Empirical (-),Artifact (-),Method (-),Theory (-),Dataset (-),Survey (-),Opinion (-),Informative,Demonstration,Technical Evaluation,Usage,Heuristic,No Evaluation,Edge Case
856,2023,"Matěj Lang, Clemens Strobel, Felix Weckesser, Danielle Langlois, Enkelejda Kasneci, Barbora Kozlíková, Michael Krone",A multimodal smartwatch-based interaction concept for immersive environments,"@article{LANG202385,
   title = {A multimodal smartwatch-based interaction concept for immersive environments},
   journal = {Computers & Graphics},
   volume = {117},
   pages = {85-95},
   year = {2023},
   issn = {0097-8493},
   doi = {https://doi.org/10.1016/j.cag.2023.10.010},
   url = {https://www.sciencedirect.com/science/article/pii/S0097849323002479},
   author = {Matěj Lang and Clemens Strobel and Felix Weckesser and Danielle Langlois and Enkelejda Kasneci and Barbora Kozlíková and Michael Krone},
   keywords = {Smartwatch, AR user interaction, Gesture interface, Input device, User experience, Cross-device interaction},
   abstract = {Augmented and Virtual Reality (AR/VR) environments require user interaction concepts beyond the traditional mouse-and-keyboard setup for seated desktop computer usage. Although advanced input modalities such as hand or gaze tracking have been developed, they have yet to be widely adopted in available hardware. Modern smartwatches have been shown to provide a powerful and intuitive means of input, thereby overcoming the limitation of the current AR/VR headsets. They typically offer a set of interesting input modalities, such as a touchscreen, rotary buttons, and an Inertial Measurement Unit (IMU), which can be used for mid-air gesture recognition. Compared to other input devices, they have the benefit that they are hands-free as soon as the user stops interacting since they are attached to the wrist. As many concepts have been proposed, comparative evaluations of their effectiveness and user-friendliness are still rare. In this paper, we evaluate the usability of two commonly found approaches for using a smartwatch as an interaction device, specifically in immersive environments provided by AR/VR HMDs: using the physical inputs of the watch (touchscreen, rotary buttons) or mid-air gestures. We conducted a user study with 20 participants, where they tested both of the interaction methods, and we compared them in their usability and performance. Based on a prototypical AR application, we evaluated the performance and user experience of these two smartwatch-based interaction concepts. We have found that the input using a touchscreen and buttons was generally favored by the participants and led to shorter task completion times.}
}",10.1016/j.cag.2023.10.010,x,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,x,,,x,,,,,,x,,,x,x,,,,x,,,,,-,,,,x,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,
869,2020,"Tim Menzner, Travis Gesslein, Alexander Otte, Jens Grubert",Above surface interaction for multiscale navigation in mobile virtual reality,"@INPROCEEDINGS{9089611,
  author={Menzner, Tim and Gesslein, Travis and Otte, Alexander and Grubert, Jens},
  booktitle={2020 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)}, 
  title={Above Surface Interaction for Multiscale Navigation in Mobile Virtual Reality}, 
  year={2020},
  volume={},
  number={},
  pages={372-381},
  keywords={Navigation;Two dimensional displays;Three-dimensional displays;Sensors;Aerospace electronics;Virtual reality;User interfaces;Human-centered computing;Visualization;Visualization techniques;Treemaps;Human-centered computing;Visualization;Visualization design;evaluation methods},
  doi={10.1109/VR46266.2020.00057}
}",10.1109/VR46266.2020.00057,,,,,,,,x,,x,,,,,,,,,,x,,,,,x,,,x,,,,x,,,,,x,,,x,x,,x,,,,,,,,,,,,,,x,x,,,,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,
887,2025,"Fengyuan Zhu, Xun Qian, Daniel Kalmar, Mahdi Tayarani, Eric J. Gonzalez, Mar Gonzalez-Franco",Beyond the Phone: Exploring Phone-XR Integration through Multi-View Transitions for Real-World Applications,"@INPROCEEDINGS{10937396,
  author={Zhu, Fengyuan and Qian, Xun and Kalmar, Daniel and Tayarani, Mahdi and Gonzalez, Eric J. and Gonzalez-Franco, Mar and Kim, David and Du, Ruofei},
  booktitle={2025 IEEE Conference Virtual Reality and 3D User Interfaces (VR)}, 
  title={Beyond the Phone: Exploring Phone-XR Integration through Multi-View Transitions for Real-World Applications}, 
  year={2025},
  volume={},
  number={},
  pages={770-780},
  keywords={Technological innovation;Solid modeling;Three-dimensional displays;Runtime;User centered design;Prototypes;User interfaces;Real-time systems;Smart phones;Systematic literature review;Cross-Device Interaction;Phone-XR Intergration},
  doi={10.1109/VR59515.2025.00099}
}",10.1109/VR59515.2025.00099,,,,,,,,x,,x,,,,,,,,x,x,,,,,,x,,,x,,,,x,,,x,,,,,x,x,,,,x,,,,,,x,,x,x,,,,x,,,x,,,,,,x,,x,,,,,,-,,,,,,,,,,x,,,
891,2020,"Verena Biener, Daniel Schneider, Travis Gesslein, Alexander Otte, Bastian Kuth, Per Ola Kristensson",Breaking the screen: Interaction across touchscreen boundaries in virtual reality for mobile knowledge workers,"@ARTICLE{9212653,
  author={Biener, Verena and Schneider, Daniel and Gesslein, Travis and Otte, Alexander and Kuth, Bastian and Kristensson, Per Ola and Ofek, Eyal and Pahud, Michel and Grubert, Jens},
  journal={IEEE Transactions on Visualization and Computer Graphics}, 
  title={Breaking the Screen: Interaction Across Touchscreen Boundaries in Virtual Reality for Mobile Knowledge Workers}, 
  year={2020},
  volume={26},
  number={12},
  pages={3490-3502},
  keywords={Three-dimensional displays;Two dimensional displays;Virtual reality;Microsoft Windows;User interfaces;Touch sensitive screens;Sensors;virtual reality;knowledge work;mobile office;window management;eye tracking;multimodal interaction},
  doi={10.1109/TVCG.2020.3023567}
}",10.1109/TVCG.2020.3023567,,,,,,,,x,,,x,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,x,,x,,x,,,,x,-,,-,-,-,-,,,,,,x,x,,,,,,,,x,,x,x,,,,,,,,,-,,,,,x,,x,,,x
960,2023,"Georgios Papadoulis, Christos Sintoris, Christos Fidas, Nikolaos Avouris ",Extending User Interaction with Mixed Reality Through a Smartphone-Based Controller,"@InProceedings{10.1007/978-3-031-42280-5_27,
  author=""Papadoulis, Georgios
  and Sintoris, Christos
  and Fidas, Christos
  and Avouris, Nikolaos"",
  editor=""Abdelnour Nocera, Jos{\'e}
  and Krist{\'i}n L{\'a}rusd{\'o}ttir, Marta
  and Petrie, Helen
  and Piccinno, Antonio
  and Winckler, Marco"",
  title=""Extending User Interaction with Mixed Reality Through a Smartphone-Based Controller"",
  booktitle=""Human-Computer Interaction -- INTERACT 2023"",
  year=""2023"",
  publisher=""Springer Nature Switzerland"",
  address=""Cham"",
  pages=""426--435"",
  abstract=""A major concern in mixed-reality (MR) environments is to support intuitive and precise user interaction. Various modalities have been proposed and used, including gesture, gaze, voice, hand-recognition or even special devices, i.e. external controllers. However, these modalities may often feel unfamiliar and physically demanding to the end-user, leading to difficulties and fatigue. One possible solution worth investigating further is to use an everyday object, like a smartphone, as an external device for interacting with MR. In this paper, we present the design of a framework for developing an external smartphone controller to extend user input in MR applications, which we further utilize to implement a new interaction modality, a tap on the phone. We also report on findings of a user study (n=24) in which we examine performance and user experience of the suggested input modality through a comparative user evaluation task. The findings suggest that incorporating a smartphone as an external controller shows potential for enhancing user interaction in MR tasks requiring high precision, as well as pinpointing the value of providing alternative means of user input in MR applications depending on a given task and personalization aspects of an end-user."",
  isbn=""978-3-031-42280-5""
}",10.1007/978-3-031-42280-5_27,x,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,x,,,,x,,,,x,,x,,,x,,,,x,,,,,,,,,x,,,x,,,,,,,,,x,,x,,,,,,,,-,,,,,,x,,,,,,
983,2024,"Xin Zeng, Xiaoyu Wang, Tengxiang Zhang, Yukang Yan, Yiqiang Chen",InputJump: Augmented reality-facilitated cross-device input fusion based on spatial and semantic information,"@article{ZENG2024502,
  title = {InputJump: Augmented reality-facilitated cross-device input fusion based on spatial and semantic information},
  journal = {Virtual Reality & Intelligent Hardware},
  volume = {6},
  number = {6},
  pages = {502-526},
  year = {2024},
  issn = {2096-5796},
  doi = {https://doi.org/10.1016/j.vrih.2024.10.001},
  url = {https://www.sciencedirect.com/science/article/pii/S2096579624000639},
  author = {Xin Zeng and Xiaoyu Wang and Tengxiang Zhang and Yukang Yan and Yiqiang Chen},
  keywords = {Mixed reality, Spatial, Semantic, Large language models},
  abstract = {The proliferation of computing devices requires seamless cross-device interactions. Augmented reality (AR) headsets can facilitate interactions with existing computers owing to their user-centered views and natural inputs. In this study, we propose InputJump, a user-centered cross-device input fusion method that maps multi-modal cross-device inputs to interactive elements on graphical interfaces. The input jump calculates the spatial coordinates of the input target positions and the interactive elements within the coordinate system of the AR headset. It also extracts semantic descriptions of inputs and elements using large language models (LLMs). Two types of information from different inputs (e.g., gaze, gesture, mouse, and keyboard) were fused to map onto an interactive element. The proposed method is explained in detail and implemented on both an AR headset and a desktop PC. We then conducted a user study and extensive simulations to validate our proposed method. The results showed that InputJump can accurately associate a fused input with the target interactive element, enabling a more natural and flexible interaction experience.}
}",10.1016/j.vrih.2024.10.001,x,,,,,,,,,,,,x,,,,,,x,,,,,,x,,,x,,,,x,,,x,,,,x,,x,,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,x
1009,2024,"Hyunsung Cho, Yukang Yan, Kashyap Todi, Mark Parent, Missie Smith, Tanya R. Jonker, Hrvoje Benko, David Lindlbauer",Minexr: Mining personalized extended reality interfaces,"@inproceedings{10.1145/3613904.3642394,
  author = {Cho, Hyunsung and Yan, Yukang and Todi, Kashyap and Parent, Mark and Smith, Missie and Jonker, Tanya R. and Benko, Hrvoje and Lindlbauer, David},
  title = {MineXR: Mining Personalized Extended Reality Interfaces},
  year = {2024},
  isbn = {9798400703300},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  url = {https://doi.org/10.1145/3613904.3642394},
  doi = {10.1145/3613904.3642394},
  abstract = {Extended Reality (XR) interfaces offer engaging user experiences, but their effective design requires a nuanced understanding of user behavior and preferences. This knowledge is challenging to obtain without the widespread adoption of XR devices. We introduce &nbsp;MineXR, a design mining workflow and data analysis platform for collecting and analyzing personalized XR user interaction and experience data. &nbsp;MineXR enables elicitation of personalized interfaces from participants of a data collection: for any particular context, participants create interface elements using application screenshots from their own smartphone, place them in the environment, and simultaneously preview the resulting XR layout on a headset. Using &nbsp;MineXR, we contribute a dataset of personalized XR interfaces collected from 31 participants, consisting of 695 XR widgets created from 178 unique applications. We provide insights for XR widget functionalities, categories, clusters, UI element types, and placement. Our open-source tools and data support researchers and designers in developing future XR interfaces.},
  booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
  articleno = {609},
  numpages = {17},
  keywords = {Datasets, Extended Reality, Personalized UI},
  location = {Honolulu, HI, USA},
  series = {CHI '24}
}",10.1145/3613904.3642394,x,,,,,,,,,x,,,,,,,,,,,,,x,,,x,,x,,,,,x,,,,x,,,x,x,,,,x,x,,x,,,,,,,,,,,,,-,,,,,x,,,,,,x,,,,-,,,,,,,,,,,x,
1030,2021,"Arda Ege Unlu, Robert Xiao",PAIR: Phone as an augmented immersive reality controller,"@inproceedings{10.1145/3489849.3489878,
  author = {Unlu, Arda Ege and Xiao, Robert},
  title = {PAIR: Phone as an Augmented Immersive Reality Controller},
  year = {2021},
  isbn = {9781450390927},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  url = {https://doi.org/10.1145/3489849.3489878},
  doi = {10.1145/3489849.3489878},
  abstract = {Immersive head-mounted augmented reality allows users to overlay 3D digital content on a user’s view of the world. Current-generation devices primarily support interaction modalities such as gesture, gaze and voice, which are readily available to most users yet lack precision and tactility, rendering them fatiguing for extended interactions. We propose using smartphones, which are also readily available, as companion devices complementing existing AR interaction modalities. We leverage user familiarity with smartphone interactions, coupled with their support for precise, tactile touch input, to unlock a broad range of interaction techniques and applications - for instance, turning the phone into an interior design palette, touch-enabled catapult or AR-rendered sword. We describe a prototype implementation of our interaction techniques using an off-the-shelf AR headset and smartphone, demonstrate applications, and report on the results of a positional accuracy study.},
  booktitle = {Proceedings of the 27th ACM Symposium on Virtual Reality Software and Technology},
  articleno = {27},
  numpages = {6},
  keywords = {Touch, Smartphone, Input Techniques, Augmented Reality},
  location = {Osaka, Japan},
  series = {VRST '21}
}",10.1145/3489849.3489878,x,,,,,,,,,x,,,,,,,,,x,,,,x,,x,x,,x,,,,x,,,,,x,,,x,x,,,x,,x,,,,,,,x,x,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,x,,,,
1092,2020,"Xiyao Wang, Lonni Besançon, David Rousseau, Mickael Sereno, Mehdi Ammi, Tobias Isenberg",Towards an understanding of augmented reality extensions for existing 3D data analysis tools,"@inproceedings{10.1145/3313831.3376657,
  author = {Wang, Xiyao and Besan\c{c}on, Lonni and Rousseau, David and Sereno, Mickael and Ammi, Mehdi and Isenberg, Tobias},
  title = {Towards an Understanding of Augmented Reality Extensions for Existing 3D Data Analysis Tools},
  year = {2020},
  isbn = {9781450367080},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  url = {https://doi.org/10.1145/3313831.3376657},
  doi = {10.1145/3313831.3376657},
  abstract = {We present an observational study with domain experts to understand how augmented reality (AR) extensions to traditional PC-based data analysis tools can help particle physicists to explore and understand 3D data. Our goal is to allow researchers to integrate stereoscopic AR-based visual representations and interaction techniques into their tools, and thus ultimately to increase the adoption of modern immersive analytics techniques in existing data analysis workflows. We use Microsoft's HoloLens as a lightweight and easily maintainable AR headset and replicate existing visualization and interaction capabilities on both the PC and the AR view. We treat the AR headset as a second yet stereoscopic screen, allowing researchers to study their data in a connected multi-view manner. Our results indicate that our collaborating physicists appreciate a hybrid data exploration setup with an interactive AR extension to improve their understanding of particle collision events.},
  booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
  pages = {1–13},
  numpages = {13},
  keywords = {3D visualization, hybrid visualization system, immersive analytics, user interface},
  location = {Honolulu, HI, USA},
  series = {CHI '20}
}",10.1145/3313831.3376657,x,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,x,,,,x,,,,,x,,,x,x,,x,,,,,x,x,,,,,,,,,,,x,-,,,,,,,x,,,,,,,,,,,,,,,,,x,,,
1113,2024,"Xiaotian Zhang, Weiping He, Mark Billinghurst, Daisong Liu, Lingxiao Yang, Shuo Feng, Yizhe Liu",Usability of cross-device interaction interfaces for augmented reality in physical tasks,"@article{Zhang02052024,
  author = {Xiaotian Zhang and Weiping He and Mark Billinghurst and Daisong Liu and Lingxiao Yang and Shuo Feng and Yizhe Liu},
  title = {Usability of Cross-Device Interaction Interfaces for Augmented Reality in Physical Tasks},
  journal = {International Journal of Human–Computer Interaction},
  volume = {40},
  number = {9},
  pages = {2361--2379},
  year = {2024},
  publisher = {Taylor \& Francis},
  doi = {10.1080/10447318.2022.2160537}
}",10.1080/10447318.2022.2160537,x,,,,,,,,x,x,,,,,,,,,x,,,,,,x,,,x,,,x,x,,,,x,,,,x,x,,,,x,,,,,,x,,,,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,-,,,
